id,weights,attention_to_politics,pres_vote,economy,immigration,crime,party_id,age,educ,race,gender,income
140097,0.183841079378515,Always,Kamala Harris,Approve strongly,Approve not strongly,Approve strongly,Strong Democrat,80,Bachelor’s degree,"White, non-Hispanic",Woman,37500
140098,0.45383150711326,About half the time,Kamala Harris,Approve not strongly,Approve not strongly,Approve strongly,Independent-Democrat,80,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Woman,47500
140101,0.438153767424402,About half the time,Kamala Harris,Approve strongly,Approve not strongly,Approve strongly,Strong Democrat,49,Graduate degree,"White, non-Hispanic",Woman,137500
140102,0.563249727091016,About half the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,41,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Woman,105000
140103,0.782403242366558,Always,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Not very strong Republican,40,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Man,162500
140105,0.78620288203449,Always,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,NA,High school credential,"White, non-Hispanic",Woman,NA
140107,0.208718385851521,Most of the time,Other,Disapprove strongly,Disapprove strongly,Disapprove strongly,Independent-Republican,70,"Some post-high school, no bachelor’s degree",NA,NA,137500
140108,2.09036314728359,Some of the time,Kamala Harris,Approve strongly,Approve not strongly,Approve not strongly,Not very strong Democrat,64,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Woman,67500
140110,0.786162547394057,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,80,Graduate degree,"Asian or Native Hawaiian/other Pacific Islander, non-Hispanic",Man,212500
140112,0.404199520230229,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,76,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Man,37500
140113,0.308375746830806,About half the time,Donald Trump,Approve not strongly,Disapprove strongly,Disapprove strongly,Not very strong Republican,61,Graduate degree,"White, non-Hispanic",Man,62500
140114,0.740369231464261,Some of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,40,Graduate degree,Hispanic,Woman,212500
140115,0.672570045041458,Always,Kamala Harris,Approve strongly,NA,Approve strongly,Strong Democrat,65,"Some post-high school, no bachelor’s degree","Black, non-Hispanic",Woman,77500
140116,1.41854503179344,Always,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,62,Graduate degree,"White, non-Hispanic",Man,212500
140117,2.61101745103907,Most of the time,Kamala Harris,Approve not strongly,Approve not strongly,Disapprove not strongly,Independent-Democrat,34,"Some post-high school, no bachelor’s degree","Black, non-Hispanic",Nonbinary,21250
140119,1.01887010852957,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,NA,Graduate degree,"White, non-Hispanic",Man,NA
140120,0.559976196257322,About half the time,Kamala Harris,Approve strongly,Approve strongly,Approve strongly,Strong Democrat,76,"Some post-high school, no bachelor’s degree",Hispanic,Man,32500
