YEAR,MONTH,WTMP,ID
2020,11,26.105218446601935,41049
2020,12,24.828413699864804,41049
2021,1,23.260022522522522,41049
2021,2,22.874532302319786,41049
2021,3,23.283902439024388,41049
2021,4,23.81391487371375,41049
2021,5,25.531182310469312,41049
2021,6,26.422862541332073,41049
2021,7,28.036541488644026,41049
2021,8,29.07485380116959,41049
2021,9,29.145804195804192,41049
2021,10,27.497329712604667,41049
2021,11,26.310291715285892,41049
2021,12,25.316219264606364,41049
2022,1,24.418806306306305,41049
2022,2,23.71078113301722,41049
2022,3,23.956581621133438,41049
2022,4,23.866519311307584,41049
2022,5,24.950958286358517,41049
2022,6,26.78184787680821,41049
2022,7,28.174537663509252,41049
2022,8,29.088251304150607,41049
2022,9,28.452757737956716,41049
2022,10,28.376221571718084,41049
2022,11,26.689178496625548,41049
2022,12,24.9307363206485,41049
2023,1,23.9911837655017,41049
2023,2,23.295633732534927,41049
2023,3,23.13272440234551,41049
2023,4,24.155009363295882,41049
2023,5,24.996281845306413,41049
2023,6,26.92048417132217,41049
2023,7,28.87964004499437,41049
2023,8,29.84510379061372,41049
2023,9,28.98992537313433,41049
2023,10,27.89132492113564,41049
2023,11,25.981547064305694,41049
2023,12,24.47047146401985,41049
2013,3,26.325473321858865,41051
2013,4,26.746796657381616,41051
2013,5,27.527590847913864,41051
2013,6,27.835416666666667,41051
2013,7,28.419999999999998,41051
2013,8,28.996486486486486,41051
2013,9,29.225693430656936,41051
2013,10,29.469037037037037,41051
2013,11,28.771186440677965,41051
2014,3,26.809294871794872,41051
2014,4,26.95758865248227,41051
2014,5,27.537150837988825,41051
2014,6,27.94277539341917,41051
2014,7,28.381603773584906,41051
2014,8,28.614831804281344,41051
2014,9,29.02296875,41051
2014,10,29.323505976095618,41051
2014,11,28.58328173374613,41051
2014,12,27.52205056179775,41051
2015,1,26.826436781609196,41051
2015,2,26.85355450236967,41051
2015,3,26.43112582781457,41051
2015,4,26.79103840682788,41051
2015,5,27.681629834254142,41051
2015,6,28.269740634005764,41051
2015,7,28.236289222373806,41051
2015,8,28.674045801526717,41051
2015,9,29.29375,41051
2015,11,28.286065573770493,41051
2015,12,27.775675675675675,41051
2016,1,27.10843537414966,41051
2016,2,26.804803493449782,41051
2016,3,26.685969738651995,41051
2016,4,27.28965034965035,41051
2016,5,27.877371273712736,41051
2016,6,28.280891719745224,41051
2011,4,27.294822888283377,41052
2011,5,27.50942126514132,41052
2011,6,28.75861111111111,41052
2011,7,28.687601078167116,41052
2011,8,28.99487870619946,41052
2011,9,29.324094707520892,41052
2011,10,29.14677419354839,41052
2011,11,28.465833333333332,41052
2011,12,27.60162162162162,41052
2012,1,26.335810810810813,41052
2012,2,26.088489208633092,41052
2012,3,26.176344086021505,41052
2012,4,26.77357440890125,41052
2012,5,27.317164179104477,41052
2012,6,28.523955431754874,41052
2012,7,28.738844086021505,41052
2012,8,28.739650537634407,41052
2012,9,29.4025,41052
2012,10,29.231989247311827,41052
2012,11,28.838194444444444,41052
2012,12,27.792473118279567,41052
2013,1,26.552688172043013,41052
2013,2,26.03377976190476,41052
2013,3,26.269272237196766,41052
2013,4,26.66875,41052
2013,5,27.38602329450915,41052
2013,6,27.816573816155987,41052
2013,7,28.423719676549865,41052
2013,8,29.006207827260457,41052
2013,9,29.280225988700565,41052
2013,10,29.513207547169813,41052
2013,11,28.491971830985914,41052
2013,12,27.385752688172044,41052
2014,1,26.59516129032258,41052
2014,2,26.159761549925484,41052
2014,3,26.514824797843666,41052
2014,4,26.882916666666667,41052
2014,5,27.431451612903224,41052
2014,6,27.872083333333332,41052
2014,7,28.339054054054053,41052
2014,8,28.58144611186903,41052
2014,9,29.033659217877094,41052
2014,10,29.368371467025572,41052
2014,11,28.60361111111111,41052
2014,12,27.515477792732163,41052
2015,1,26.85483870967742,41052
2015,2,26.881696428571427,41052
2015,3,26.386962365591398,41052
2015,4,26.781863560732113,41052
2015,5,27.69192462987887,41052
2015,6,28.31016713091922,41052
2015,7,28.21532258064516,41052
2015,8,28.688172043010752,41052
2015,9,29.398194444444446,41052
2015,10,29.601612903225806,41052
2015,11,28.764922206506366,41052
2015,12,27.785810810810812,41052
2016,1,27.06505376344086,41052
2016,2,26.798992805755397,41052
2016,3,26.609421265141318,41052
2016,4,27.16625874125874,41052
2016,5,27.761962365591398,41052
2016,6,28.405416666666667,41052
2016,7,28.753162853297443,41052
2016,8,29.22486559139785,41052
2016,9,29.395416666666666,41052
2016,10,29.444220430107528,41052
2016,11,29.032777777777778,41052
2016,12,28.053783783783786,41052
2017,1,26.771870794078062,41052
2017,2,26.613988095238096,41052
2017,3,26.540456989247314,41052
2017,4,27.06661101836394,41052
2017,5,27.598515519568153,41052
2017,6,28.34027777777778,41052
2017,7,28.94529569892473,41052
2017,8,29.293817204301074,41052
2017,9,29.38157894736842,41052
2018,6,27.931578947368422,41052
2018,7,28.22244623655914,41052
2018,8,28.626379542395693,41052
2018,9,28.971666666666668,41052
2018,10,28.752916666666668,41052
2018,12,27.009556313993173,41052
2019,1,26.35306957708049,41052
2019,2,26.183482142857144,41052
2019,3,26.352660300136424,41052
2019,4,26.728333333333335,41052
2019,5,27.320833333333333,41052
2019,6,28.216434540389972,41052
2019,7,28.720564516129034,41052
2019,8,29.012481203007518,41052
2019,10,29.744313725490198,41052
2019,11,28.93916666666667,41052
2019,12,28.05013440860215,41052
2020,1,27.30578734858681,41052
2020,2,26.79340175953079,41052
2020,3,26.679153094462542,41052
2020,4,27.656967213114754,41052
2020,5,28.146164199192462,41052
2020,6,28.96105702364395,41052
2020,7,29.1622754491018,41052
2020,8,29.34140625,41052
2020,9,29.7025,41052
2020,10,29.389622641509433,41052
2020,11,28.19139633286319,41052
2020,12,27.590725806451612,41052
2021,1,26.657335127860026,41052
2021,2,26.39985074626866,41052
2021,3,26.397142857142857,41052
2021,4,26.77510431154381,41052
2021,5,27.48467741935484,41052
2021,6,28.00334728033473,41052
2021,7,28.361424731182794,41052
2021,8,28.814381720430106,41052
2021,9,29.57287899860918,41052
2021,10,29.45425101214575,41052
2021,11,28.55986111111111,41052
2021,12,27.709946236559137,41052
2022,1,26.872520107238607,41052
2022,2,26.24657738095238,41052
2022,3,26.280779569892474,41052
2022,4,26.478333333333335,41052
2022,5,27.302018842530284,41052
2022,6,28.202916666666667,41052
2022,7,28.365994623655915,41052
2022,8,29.006586021505377,41052
2022,9,29.24388888888889,41052
2022,10,29.00685483870968,41052
2022,11,28.20375,41052
2022,12,27.279032258064515,41052
2023,1,26.55725806451613,41052
2023,2,26.177677224736048,41052
2023,3,26.33562340966921,41052
2023,4,26.967130919220054,41052
2023,5,28.324462365591398,41052
2023,6,29.113611111111112,41052
2023,7,29.32741935483871,41052
2023,8,29.779082321187584,41052
2023,9,30.242053445850914,41052
2023,10,29.956317204301076,41052
2023,11,29.09662447257384,41052
2023,12,27.90840220385675,41052
2010,7,28.808527131782945,41053
2010,8,29.461507402422612,41053
2010,9,29.449444444444445,41053
2010,10,29.371639784946236,41053
2010,11,28.23625,41053
2010,12,26.96266846361186,41053
2011,1,26.086693548387096,41053
2011,2,26.160565476190477,41053
2011,3,25.908625336927223,41053
2011,4,26.054716981132074,41053
2011,5,27.079217273954114,41053
2011,6,28.125244072524406,41053
2011,7,28.407795698924733,41053
2011,8,28.753360215053764,41053
2011,9,29.193880389429765,41053
2011,10,29.185887096774195,41053
2011,11,28.575555555555557,41053
2011,12,27.57779273216689,41053
2012,1,26.67300944669366,41053
2012,2,26.06,41053
2012,3,26.020833333333332,41053
2012,4,26.47888888888889,41053
2012,5,26.666666666666668,41053
2012,6,28.087816455696203,41053
2012,7,28.357335127860026,41053
2012,8,28.714670255720055,41053
2012,9,29.443194444444444,41053
2012,10,29.3164199192463,41053
2012,11,29.061944444444446,41053
2012,12,27.92486559139785,41053
2013,1,26.829878869448184,41053
2013,2,26.213392857142857,41053
2013,3,26.291129032258063,41053
2013,4,26.45,41053
2013,5,26.722712933753943,41053
2013,6,27.16736111111111,41053
2013,7,27.992597577388963,41053
2013,8,28.7688679245283,41053
2013,9,29.243333333333332,41053
2013,10,29.45174731182796,41053
2013,11,28.661040787623065,41053
2013,12,27.30868385345997,41053
2014,1,26.659274193548388,41053
2014,2,26.52684766214178,41053
2014,3,26.65149051490515,41053
2014,4,26.73994413407821,41053
2014,5,27.41898734177215,41053
2014,6,28.040555555555557,41053
2014,7,27.889232839838492,41053
2014,8,28.489905787348587,41053
