congress,bioname,state_abbrev,district_code,party,nominate_dim1,nominate_dim2
102,"LIVINGSTON, Robert Linlithgow, Jr.",LA,1,Republican,0.326,0.109
102,"TAUZIN, Wilbert Joseph (Billy)",LA,3,Democrat,0.03,0.568
102,"BAKER, Richard Hugh",LA,6,Republican,0.423,0.022
102,"HAYES, James Allison",LA,7,Democrat,-0.057,0.755
102,"HOLLOWAY, Clyde Cecil",LA,8,Republican,0.475,0.004
102,"McCRERY, James O., III",LA,4,Republican,0.362,0.08
102,"JEFFERSON, William Jennings",LA,2,Democrat,-0.424,0.242
102,"SNOWE, Olympia Jean",ME,2,Republican,0.091,-0.548
102,"ANDREWS, Thomas Hiram",ME,1,Democrat,-0.398,-0.624
102,"BYRON, Beverly Barton Butcher",MD,6,Democrat,-0.024,0.516
102,"HOYER, Steny Hamilton",MD,5,Democrat,-0.381,0.122
102,"BENTLEY, Helen Delich",MD,2,Republican,0.276,-0.362
102,"CARDIN, Benjamin Louis",MD,3,Democrat,-0.32,-0.224
102,"McMILLEN, Charles Thomas",MD,4,Democrat,-0.214,0.082
102,"MFUME, Kweisi",MD,7,Democrat,-0.44,-0.328
102,"MORELLA, Constance A.",MD,8,Republican,-0.018,-0.893
102,"GILCHREST, Wayne Thomas",MD,1,Republican,0.204,-0.563
102,"MOAKLEY, John Joseph",MA,9,Democrat,-0.418,-0.054
102,"STUDDS, Gerry Eastman",MA,10,Democrat,-0.444,-0.593
102,"EARLY, Joseph Daniel",MA,3,Democrat,-0.254,-0.409
102,"MARKEY, Edward John",MA,7,Democrat,-0.517,-0.469
102,"DONNELLY, Brian Joseph",MA,11,Democrat,-0.291,-0.046
102,"MAVROULES, Nicholas James",MA,6,Democrat,-0.342,-0.023
102,"FRANK, Barney",MA,4,Democrat,-0.499,-0.534
102,"ATKINS, Chester Greenough",MA,5,Democrat,-0.407,-0.388
102,"KENNEDY, Joseph Patrick, II",MA,8,Democrat,-0.413,-0.453
102,"NEAL, Richard Edmund",MA,2,Democrat,-0.417,-0.106
102,"OLVER, John Walter",MA,1,Democrat,-0.577,-0.207
102,"BROOMFIELD, William S.",MI,18,Republican,0.227,-0.309
102,"DINGELL, John David, Jr.",MI,16,Democrat,-0.448,0.313
102,"CONYERS, John, Jr.",MI,1,Democrat,-0.658,-0.512
102,"FORD, William David",MI,15,Democrat,-0.516,0.098
102,"VANDER JAGT, Guy Adrian",MI,9,Republican,0.247,-0.226
102,"TRAXLER, Jerome Bob",MI,8,Democrat,-0.33,0.126
102,"CARR, Milton Robert (Bob)",MI,6,Democrat,-0.254,-0.342
102,"BONIOR, David Edward",MI,12,Democrat,-0.547,-0.006
102,"KILDEE, Dale Edward",MI,7,Democrat,-0.385,0.011
102,"PURSELL, Carl Duane",MI,2,Republican,0.12,-0.557
102,"DAVIS, Robert William",MI,11,Republican,0.098,-0.146
102,"WOLPE, Howard Eliot, III",MI,3,Democrat,-0.374,-0.466
102,"HERTEL, Dennis Mark",MI,14,Democrat,-0.345,-0.223
102,"LEVIN, Sander Martin",MI,17,Democrat,-0.379,-0.091
